IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
103.16.181.123,c2_mythic,443,Critical/Critical,nz,2025-04-03 19:11:50
46.240.140.66,c2_metasploit,3790,Critical/Critical,rs,2025-03-06 21:11:16
77.92.48.21,c2_meshagent,80,Critical/Critical,pl,2025-04-03 23:06:10
172.232.162.184,c2_meshagent,80,Critical/Critical,us,2025-04-03 23:38:34
66.85.173.48,c2_metasploit,3790,Critical/Critical,us,2025-03-06 22:51:23
185.84.80.87,c2_meshagent,443,Critical/Critical,de,2025-04-03 23:10:20
154.90.58.124,c2_meshagent,80,Critical/Critical,sg,2025-04-03 22:56:52
78.153.136.225,c2_metasploit,3790,Critical/Critical,fr,2025-03-07 05:11:39
52.188.13.228,c2_metasploit,3790,Critical/Critical,us,2025-03-06 23:33:06
179.43.172.173,c2_havoc,443,Critical/Critical,ch,2025-04-03 22:48:44
3.91.147.61,c2_darkcomet,4444,Critical/Critical,us,2025-03-24 16:23:49
47.84.47.134,c2_mythic,443,Critical/Critical,sg,2025-04-03 18:25:50
147.135.36.223,c2_mythic,443,Critical/Critical,us,2025-04-03 18:36:08
3.136.231.230,c2_havoc,443,Critical/Critical,us,2025-04-03 12:29:47
5.180.155.29,c2_metasploit,3790,Critical/Critical,tr,2025-03-06 22:02:42
172.233.158.36,c2_meshagent,80,Critical/Critical,us,2025-04-03 23:35:51
34.172.208.55,c2_posh,443,Critical/Critical,us,2025-03-11 12:40:06
51.81.171.234,c2_havoc,443,Critical/Critical,us,2025-04-03 07:22:12
149.102.22.68,c2_mythic,80,Critical/Critical,gb,2025-04-03 20:25:58
172.104.146.44,c2_meshagent,443,Critical/Critical,de,2025-04-04 00:28:00
77.92.95.144,c2_metasploit,3790,Critical/Critical,gb,2025-03-07 02:03:52
47.122.19.212,c2_meshagent,443,Critical/Critical,cn,2025-04-03 23:11:59
107.161.22.118,c2_mythic,443,Critical/Critical,us,2025-04-03 22:48:55
5.249.145.51,c2_metasploit,3790,Critical/Critical,it,2025-03-06 22:15:42
85.31.236.216,c2_havoc,443,Critical/Critical,fr,2025-04-03 22:01:29
150.136.25.249,c2_mythic,80,Critical/Critical,us,2025-04-03 20:33:26
188.166.148.241,c2_mythic,443,Critical/Critical,gb,2025-04-03 21:50:58
18.212.211.217,c2_meshagent,443,Critical/Critical,us,2025-04-03 22:58:31
52.255.166.103,c2_havoc,443,Critical/Critical,us,2025-04-03 16:05:26
176.65.143.133,c2_havoc,443,Critical/Critical,us,2025-04-03 15:11:23
185.170.224.123,c2_meshagent,80,Critical/Critical,pl,2025-04-03 22:54:10
23.227.202.132,c2_havoc,80,Critical/Critical,us,2025-04-03 04:01:30
154.12.230.166,c2_mythic,443,Critical/Critical,us,2025-04-03 21:53:25
185.42.170.220,c2_mythic,443,Critical/Critical,ee,2025-04-03 21:01:53
88.214.25.251,c2_metasploit,3790,Critical/Critical,de,2025-03-07 06:39:03
39.109.131.181,c2_mythic,80,Critical/Critical,sg,2025-04-03 21:39:33
185.182.219.24,c2_meshagent,443,Critical/Critical,kz,2025-04-03 23:14:24
47.236.86.214,c2_mythic,443,Critical/Critical,sg,2025-04-03 18:34:13
34.200.34.176,c2_mythic,443,Critical/Critical,us,2025-04-03 17:59:05
178.63.172.20,c2_metasploit,8080,Critical/Critical,de,2025-03-16 18:22:14
85.239.54.208,c2_metasploit,3790,Critical/Critical,us,2025-03-07 05:11:53
83.238.212.60,c2_havoc,443,Critical/Critical,pl,2025-04-03 18:49:09
172.105.171.124,c2_meshagent,443,Critical/Critical,au,2025-04-03 23:53:26
185.202.199.134,c2_meshagent,80,Critical/Critical,de,2025-04-03 23:12:19
13.61.8.192,c2_havoc,443,Critical/Critical,se,2025-04-03 21:43:31
185.103.143.180,c2_meshagent,80,Critical/Critical,fr,2025-04-03 23:22:12
213.109.147.20,c2_havoc,80,Critical/Critical,nl,2025-04-03 16:51:16
172.105.169.194,c2_meshagent,443,Critical/Critical,au,2025-04-03 23:25:40
103.254.230.210,c2_metasploit,6667,Critical/Critical,in,2025-03-31 12:51:46
63.210.148.42,c2_metasploit,3790,Critical/Critical,us,2025-03-06 23:33:04
