IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
138.197.43.61,c2_metasploit,3790,Critical/Critical,us,2025-12-20 05:40:40
35.229.155.189,c2_meshagent,80,Critical/Critical,tw,2026-01-03 23:46:29
185.233.40.88,c2_mythic,443,Critical/Critical,ua,2026-01-03 15:44:18
212.132.68.79,c2_havoc,443,Critical/Critical,de,2026-01-03 15:49:25
91.222.139.149,c2_mythic,80,Critical/Critical,ua,2026-01-03 18:20:49
138.197.18.115,c2_metasploit,3790,Critical/Critical,us,2025-12-20 04:17:46
162.55.91.224,c2_metasploit,3790,Critical/Critical,de,2025-12-20 12:47:20
185.233.42.60,c2_mythic,443,Critical/Critical,ua,2026-01-03 15:38:46
34.253.133.65,c2_meshagent,80,Critical/Critical,ie,2026-01-04 00:56:26
87.249.53.167,c2_metasploit,3790,Critical/Critical,ru,2025-12-20 19:04:19
104.130.127.53,c2_mythic,443,Critical/Critical,us,2026-01-03 19:23:35
13.57.13.8,c2_meshagent,80,Critical/Critical,us,2026-01-03 23:22:16
69.5.189.9,c2_havoc,80,Critical/Critical,sc,2025-12-14 14:20:03
187.57.147.70,c2_havoc,8081,Critical/Critical,br,2025-12-14 07:22:10
144.126.130.139,c2_metasploit,3790,Critical/Critical,us,2025-12-20 06:52:23
146.59.199.61,c2_metasploit,3790,Critical/Critical,fr,2025-12-20 07:39:54
3.109.153.237,c2_havoc,80,Critical/Critical,in,2026-01-03 01:19:23
159.203.180.92,c2_mythic,80,Critical/Critical,us,2026-01-03 22:54:22
23.99.227.70,c2_meshagent,80,Critical/Critical,us,2026-01-04 02:15:10
188.60.189.142,c2_meshagent,443,Critical/Critical,ch,2026-01-03 23:38:24
23.95.218.57,c2_meshagent,80,Critical/Critical,us,2026-01-04 00:53:12
159.203.143.205,c2_havoc,443,Critical/Critical,us,2025-12-14 21:30:06
82.180.146.166,c2_metasploit,3790,Critical/Critical,in,2025-12-20 15:08:55
51.81.171.234,c2_havoc,80,Critical/Critical,us,2025-12-28 11:53:33
154.12.230.166,c2_mythic,80,Critical/Critical,us,2026-01-03 20:29:04
146.59.1.7,c2_mythic,443,Critical/Critical,fr,2026-01-03 21:10:17
185.124.8.96,c2_mythic,443,Critical/Critical,ua,2026-01-03 18:20:40
146.190.51.91,c2_metasploit,3790,Critical/Critical,us,2025-12-20 11:12:30
35.204.224.220,c2_meshagent,80,Critical/Critical,nl,2026-01-04 00:40:07
165.227.136.106,c2_metasploit,3790,Critical/Critical,de,2025-12-20 15:08:56
144.91.86.133,c2_metasploit,3790,Critical/Critical,fr,2025-12-20 04:17:11
194.182.64.104,c2_havoc,8080,Critical/Critical,cz,2025-12-06 15:03:38
13.60.223.123,c2_meshagent,443,Critical/Critical,se,2026-01-04 00:08:44
78.128.99.206,c2_havoc,8443,Critical/Critical,bg,2026-01-03 02:04:00
34.69.120.231,c2_meshagent,80,Critical/Critical,us,2026-01-04 02:57:57
137.184.97.20,c2_metasploit,3790,Critical/Critical,us,2025-12-20 04:26:52
188.225.46.60,c2_meshagent,80,Critical/Critical,ru,2026-01-03 23:23:23
145.220.74.137,c2_mythic,80,Critical/Critical,nl,2026-01-03 15:50:54
13.49.83.190,c2_meshagent,80,Critical/Critical,se,2026-01-04 00:28:59
209.74.87.113,c2_mythic,80,Critical/Critical,us,2026-01-03 16:11:04
165.22.184.26,c2_metasploit,3790,Critical/Critical,us,2025-12-20 16:52:35
152.53.88.217,c2_mythic,80,Critical/Critical,us,2026-01-03 19:28:51
35.212.12.44,c2_meshagent,443,Critical/Critical,us,2026-01-04 00:00:00
156.244.7.169,c2_metasploit,3790,Critical/Critical,sc,2025-12-20 12:16:17
139.59.59.97,c2_metasploit,3790,Critical/Critical,in,2025-12-20 04:17:45
88.119.167.205,c2_metasploit,3790,Critical/Critical,lt,2025-12-20 18:50:04
161.97.171.116,c2_metasploit,3790,Critical/Critical,fr,2025-12-20 12:40:21
35.179.81.109,c2_meshagent,80,Critical/Critical,gb,2026-01-04 00:00:35
185.68.18.86,c2_mythic,80,Critical/Critical,ua,2026-01-03 15:47:41
159.198.75.249,c2_havoc,443,Critical/Critical,us,2025-12-29 08:36:06
