IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
157.173.96.123,c2_havoc,8443,Critical/Critical,fr,2026-03-08 16:52:56
3.79.148.6,c2_mythic,443,Critical/Critical,de,2026-03-17 16:09:01
35.238.61.25,c2_mythic,80,Critical/Critical,us,2026-03-13 07:21:30
51.38.236.45,c2_meshagent,443,Critical/Critical,fr,2026-03-26 00:20:17
192.3.81.196,c2_meshagent,443,Critical/Critical,us,2026-03-26 00:20:27
5.161.41.253,c2_meshagent,443,Critical/Critical,us,2026-03-31 09:53:46
34.218.247.220,c2_mythic,7443,Critical/Critical,us,2026-03-16 04:34:36
45.33.69.105,c2_meshagent,443,Critical/Critical,us,2026-03-30 19:08:58
62.84.102.124,c2_metasploit,3790,Critical/Critical,nl,2026-03-10 17:59:25
147.93.9.173,c2_havoc,3443,Critical/Critical,br,2026-03-12 01:57:19
44.226.95.127,c2_mythic,443,Critical/Critical,us,2026-03-15 11:08:59
172.245.154.155,c2_havoc,443,Critical/Critical,us,2026-03-12 11:39:37
50.87.65.199,c2_mythic,80,Critical/Critical,us,2026-03-11 16:23:02
83.168.110.172,c2_metasploit,3790,Critical/Critical,pl,2026-03-11 12:13:12
46.62.161.76,c2_mythic,443,Critical/Critical,fi,2026-03-25 19:30:33
50.116.26.208,c2_mythic,443,Critical/Critical,us,2026-03-25 19:30:32
170.187.194.21,c2_meshagent,443,Critical/Critical,ca,2026-03-26 00:30:25
74.208.147.7,c2_metasploit,3790,Critical/Critical,us,2026-03-11 07:56:58
23.88.110.42,c2_posh,8443,Critical/Critical,de,2026-03-09 19:06:20
63.210.148.42,c2_metasploit,3790,Critical/Critical,us,2026-03-10 21:06:36
150.230.136.133,c2_meshagent,8086,Critical/Critical,in,2026-03-26 01:05:25
35.166.176.63,c2_mythic,443,Critical/Critical,us,2026-03-16 13:48:34
132.145.210.148,c2_mythic,443,Critical/Critical,us,2026-03-25 16:35:26
40.66.42.246,c2_havoc,443,Critical/Critical,fr,2026-03-14 02:33:52
115.73.210.221,c2_meshagent,443,Critical/Critical,vn,2026-03-25 23:00:50
104.248.249.211,c2_havoc,443,Critical/Critical,de,2026-03-12 16:15:45
20.79.154.216,c2_meshagent,443,Critical/Critical,de,2026-03-31 08:55:19
103.106.228.129,c2_havoc,8080,Critical/Critical,jp,2026-03-14 02:57:08
143.198.215.97,c2_havoc,80,Critical/Critical,sg,2026-03-14 10:29:04
185.229.119.241,c2_havoc,443,Critical/Critical,fr,2026-03-13 02:59:40
23.227.173.144,c2_meshagent,4430,Critical/Critical,us,2026-03-25 23:05:19
107.172.3.15,c2_havoc,443,Critical/Critical,us,2026-03-15 09:16:00
78.159.131.56,c2_metasploit,3790,Critical/Critical,al,2026-03-11 09:53:08
5.161.41.247,c2_meshagent,443,Critical/Critical,us,2026-03-31 19:55:20
124.223.198.238,c2_meshagent,8086,Critical/Critical,cn,2026-03-25 22:55:07
135.125.106.42,c2_meshagent,443,Critical/Critical,fr,2026-03-25 23:06:03
46.101.95.235,c2_metasploit,3790,Critical/Critical,gb,2026-03-11 06:25:32
74.208.147.203,c2_metasploit,3790,Critical/Critical,us,2026-03-11 09:05:26
45.63.86.203,c2_metasploit,3790,Critical/Critical,us,2026-03-10 16:13:44
48.211.216.77,c2_mythic,443,Critical/Critical,us,2026-03-10 12:10:59
66.228.49.103,c2_meshagent,8443,Critical/Critical,us,2026-03-31 20:13:42
15.204.95.228,c2_havoc,443,Critical/Critical,us,2026-03-13 20:00:12
185.3.94.55,c2_meshagent,443,Critical/Critical,gb,2026-03-31 17:18:58
89.58.40.80,c2_metasploit,3790,Critical/Critical,de,2026-03-11 12:13:12
20.188.119.195,c2_havoc,443,Critical/Critical,sg,2026-03-15 15:55:32
139.99.144.141,c2_mythic,443,Critical/Critical,au,2026-03-21 05:28:28
46.240.140.66,c2_metasploit,3790,Critical/Critical,rs,2026-03-10 17:59:28
3.208.159.213,c2_mythic,443,Critical/Critical,us,2026-03-15 22:25:57
172.105.156.240,c2_meshagent,443,Critical/Critical,us,2026-03-25 23:05:39
8.148.80.112,c2_metasploit,3790,Critical/Critical,cn,2026-03-11 09:40:48
