IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
88.119.174.117,c2_covenant,7443,Safe/Critical,US,2024-07-17 17:05:27
80.203.15.24,c2_posh,8443,Safe/Critical,NO,2024-08-04 01:42:23
150.136.124.241,c2_mythic,80,Critical/Critical,DE,2024-08-04 16:17:07
91.206.14.228,c2_havoc,8989,Critical/Critical,RU,2024-08-02 02:54:41
92.63.104.220,c2_meshagent,80,Safe/Critical,FR,2024-08-05 05:26:35
77.92.95.127,c2_metasploit,3790,Critical/Critical,GE,2024-07-18 06:22:16
94.194.248.47,c2_meshagent,80,Safe/Critical,GB,2024-08-05 06:07:11
162.243.22.15,c2_metasploit,443,Critical/Critical,IN,2024-08-04 00:15:07
46.235.225.189,c2_mythic,80,Safe/Safe,US,2024-08-04 12:29:35
91.236.196.165,c2_meshagent,80,Safe/Critical,DE,2024-08-05 04:40:01
88.99.214.170,c2_metasploit,3790,Dangerous/Critical,DE,2024-07-18 07:17:11
44.213.54.56,c2_mythic,80,Low/Critical,US,2024-08-04 12:42:03
94.23.43.228,c2_metasploit,6667,Critical/Critical,CN,2024-07-23 15:48:50
192.169.6.122,c2_havoc,443,Safe/Critical,US,2024-08-04 11:27:56
80.211.228.62,c2_havoc,443,Safe/Safe,LT,2024-08-03 17:15:41
137.184.45.196,c2_havoc,443,Low/Critical,KR,2024-08-04 08:21:25
46.235.231.164,c2_mythic,80,Safe/Critical,US,2024-08-04 16:08:33
98.142.95.254,c2_metasploit,3790,Safe/Critical,FR,2024-07-18 07:42:12
93.93.118.167,c2_meshagent,80,Moderate/Critical,DE,2024-08-05 05:49:27
34.215.19.223,c2_mythic,80,Low/Critical,US,2024-08-04 18:38:16
93.203.172.32,c2_meshagent,80,Safe/Critical,DE,2024-08-05 05:54:33
96.30.193.123,c2_metasploit,3790,Safe/Critical,US,2024-07-18 09:13:30
46.235.225.138,c2_mythic,80,Safe/Critical,CA,2024-08-04 14:29:04
193.181.23.187,c2_metasploit,4444,Safe/Critical,SE,2024-07-29 12:02:00
51.15.227.242,c2_mythic,80,Moderate/Critical,CA,2024-08-04 18:21:58
205.234.156.139,c2_metasploit,3790,Critical/Critical,FR,2024-07-18 08:27:37
54.175.31.82,c2_mythic,80,Low/Critical,US,2024-08-04 23:00:09
89.9.171.3,c2_meshagent,80,Safe/Critical,DE,2024-08-05 04:14:45
159.223.0.103,c2_havoc,443,Low/Critical,GB,2024-08-04 12:27:18
81.0.219.234,c2_metasploit,3790,Critical/Critical,GB,2024-07-18 06:40:53
91.107.149.233,c2_meshagent,80,Low/Critical,FR,2024-08-05 05:18:20
89.145.253.89,c2_meshagent,443,Moderate/Critical,TW,2024-08-05 03:43:19
1.34.253.61,c2_meshagent,443,Safe/Critical,US,2024-08-05 04:26:56
91.203.135.209,c2_meshagent,80,Safe/Critical,DE,2024-08-05 04:45:17
178.18.254.10,c2_covenant,7443,Safe/Critical,DE,2024-07-30 10:49:25
103.86.177.103,c2_metasploit,8080,Low/Critical,US,2024-08-03 15:48:43
156.194.73.65,c2_posh,443,Safe/Critical,EG,2024-07-18 18:00:57
138.197.37.104,c2_havoc,443,Low/Critical,PT,2024-08-03 17:11:56
50.87.65.199,c2_mythic,80,Critical/Critical,US,2024-08-04 17:22:30
91.92.136.32,c2_meshagent,80,Moderate/Critical,IN,2024-08-05 04:49:05
89.108.74.95,c2_meshagent,80,Safe/Critical,RU,2024-08-05 03:46:38
176.31.163.140,c2_havoc,443,Low/Critical,FR,2024-08-03 01:58:00
89.58.57.7,c2_meshagent,80,Moderate/Critical,FR,2024-08-05 04:24:31
89.208.197.73,c2_meshagent,443,Safe/Critical,CA,2024-08-05 02:55:08
68.183.19.125,c2_mythic,80,Critical/Critical,FI,2024-08-04 17:56:46
15.235.82.33,c2_mythic,80,Safe/Critical,GB,2024-08-04 14:36:40
92.175.77.60,c2_meshagent,80,Safe/Critical,CZ,2024-08-05 05:12:07
211.23.154.155,c2_meshagent,80,Safe/Critical,CZ,2024-08-05 03:51:55
91.223.82.25,c2_metasploit,3790,Critical/Critical,RU,2024-07-18 07:26:00
8.213.210.58,c2_metasploit,3790,Moderate/Critical,FR,2024-07-18 06:30:10
