IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
47.129.202.153,c2_mythic,80,Critical/Critical,sg,2026-05-26 10:26:49
45.79.198.18,c2_metasploit,3790,Critical/Critical,us,2026-05-11 07:06:45
195.199.213.50,c2_meshagent,80,Critical/Critical,hu,2026-05-29 08:27:57
198.244.197.118,c2_meshagent,80,Critical/Critical,gb,2026-05-29 09:12:54
143.198.215.97,c2_havoc,443,Critical/Critical,sg,2026-05-05 08:10:03
47.82.109.212,c2_meshagent,80,Critical/Critical,hk,2026-05-29 08:38:12
210.2.169.213,c2_havoc,443,Critical/Critical,pk,2026-05-12 02:23:04
89.58.9.56,c2_metasploit,3790,Critical/Critical,de,2026-05-11 16:11:53
47.91.124.11,c2_mythic,80,Critical/Critical,ae,2026-05-22 18:26:44
62.84.102.124,c2_metasploit,3790,Critical/Critical,nl,2026-05-11 09:16:19
95.179.151.134,c2_metasploit,3790,Critical/Critical,nl,2026-05-11 15:54:06
128.97.52.66,c2_meshagent,80,Critical/Critical,us,2026-05-29 09:15:50
217.28.130.143,c2_havoc,443,Critical/Critical,us,2026-05-07 23:05:56
88.218.17.218,c2_metasploit,3790,Critical/Critical,nl,2026-05-11 15:54:07
52.39.171.29,C2,8888,Critical/Critical,us,2026-05-29 11:58:20
89.111.133.213,c2_metasploit,3790,Critical/Critical,ru,2026-05-11 16:24:31
46.235.225.189,c2_mythic,80,Critical/Critical,gb,2026-05-27 22:54:38
51.83.161.87,c2_mythic,80,Critical/Critical,fr,2026-05-28 00:16:47
74.175.81.231,c2_metasploit,3790,Critical/Critical,us,2026-05-11 10:43:01
52.188.13.228,c2_metasploit,3790,Critical/Critical,us,2026-05-11 07:14:41
125.228.140.52,c2_meshagent,80,Critical/Critical,tw,2026-05-29 09:07:52
88.99.214.170,c2_metasploit,7687,Critical/Critical,de,2026-05-12 19:02:40
146.59.1.7,c2_mythic,80,Critical/Critical,fr,2026-05-26 04:43:17
128.199.226.47,c2_meshagent,80,Critical/Critical,sg,2026-05-29 09:15:36
45.79.207.53,c2_metasploit,3790,Critical/Critical,us,2026-05-11 01:47:14
129.154.199.220,c2_meshagent,443,Critical/Critical,kr,2026-05-29 11:13:22
195.150.85.212,c2_meshagent,80,Critical/Critical,pl,2026-05-29 08:12:06
82.115.25.234,c2_metasploit,3790,Critical/Critical,au,2026-05-11 12:24:53
198.154.191.134,c2_meshagent,80,Critical/Critical,ca,2026-05-29 08:50:47
91.191.209.94,c2_metasploit,3790,Critical/Critical,bg,2026-05-11 15:54:08
103.45.247.189,c2_meshagent,80,Critical/Critical,nl,2026-05-29 09:11:52
43.240.223.126,c2_metasploit,3790,Critical/Critical,cn,2026-05-10 23:58:31
77.246.99.16,c2_metasploit,3790,Critical/Critical,nl,2026-05-11 12:24:51
155.138.246.5,c2_havoc,443,Critical/Critical,us,2026-05-05 19:55:21
158.178.157.68,c2_meshagent,443,Critical/Critical,nl,2026-05-29 13:39:22
5.78.122.89,c2_mythic,80,Critical/Critical,us,2026-05-26 04:35:15
198.111.165.234,c2_meshagent,80,Critical/Critical,us,2026-05-29 09:09:34
159.223.161.181,c2_havoc,8443,Critical/Critical,us,2026-05-03 23:44:20
107.172.151.85,c2_havoc,443,Critical/Critical,us,2026-05-06 13:41:36
46.235.225.138,c2_mythic,80,Critical/Critical,gb,2026-05-28 20:52:04
128.140.13.128,c2_meshagent,80,Critical/Critical,de,2026-05-29 09:10:08
34.13.63.214,c2_havoc,443,Critical/Critical,gb,2026-05-06 18:39:10
198.58.122.41,c2_meshagent,80,Critical/Critical,us,2026-05-29 09:19:16
45.8.148.165,c2_metasploit,3790,Critical/Critical,de,2026-05-10 23:22:56
157.90.168.196,c2_meshagent,80,Critical/Critical,de,2026-05-29 09:17:52
65.0.236.193,c2_metasploit,3790,Critical/Critical,in,2026-05-11 10:42:59
51.68.151.94,c2_mythic,80,Critical/Critical,fr,2026-05-22 21:49:33
217.154.217.139,c2_havoc,8000,Critical/Critical,de,2026-05-05 09:29:44
100.52.66.182,c2_havoc,443,Critical/Critical,us,2026-05-11 13:10:46
195.201.25.242,c2_meshagent,80,Critical/Critical,de,2026-05-29 08:34:42
