IP,Target C2,OpenPorts,Score(Inbound/Outbound),Country,Scan Time
213.209.159.126,c2_meshagent,443,Critical/Critical,tw,2026-03-14 22:13:14
185.49.165.41,c2_havoc,443,Critical/Critical,ge,2026-03-04 06:36:14
185.155.99.33,c2_meshagent,80,Critical/Critical,ee,2026-03-14 22:28:15
74.208.147.186,c2_metasploit,3790,Critical/Critical,us,2026-03-11 09:05:26
89.111.133.213,c2_metasploit,3790,Critical/Critical,ru,2026-03-11 12:36:00
77.92.95.144,c2_metasploit,3790,Critical/Critical,gb,2026-03-11 09:53:12
140.238.223.229,c2_meshagent,7774,Critical/Critical,ch,2026-03-14 22:26:13
51.81.171.234,c2_havoc,443,Critical/Critical,us,2026-03-12 05:46:44
3.85.107.177,c2_havoc,443,Critical/Critical,us,2026-02-24 06:21:18
3.108.67.17,c2_havoc,443,Critical/Critical,in,2026-02-27 02:00:13
45.79.207.53,c2_metasploit,3790,Critical/Critical,us,2026-03-10 10:20:00
89.168.42.140,c2_havoc,443,Critical/Critical,fr,2026-03-03 03:13:54
38.55.193.188,c2_metasploit,3790,Critical/Critical,us,2026-03-10 15:24:26
46.235.231.164,c2_mythic,80,Critical/Critical,gb,2026-03-14 17:20:18
45.55.182.145,c2_mythic,7443,Critical/Critical,us,2026-02-27 10:02:21
77.246.99.16,c2_metasploit,3790,Critical/Critical,nl,2026-03-11 09:53:08
185.202.199.51,c2_meshagent,80,Critical/Critical,de,2026-03-14 22:24:19
95.179.191.226,c2_havoc,443,Critical/Critical,nl,2026-02-25 12:55:17
213.47.217.68,c2_meshagent,80,Critical/Critical,at,2026-03-14 22:25:42
78.38.80.242,c2_metasploit,3790,Critical/Critical,ir,2026-03-11 09:58:46
185.119.119.128,C2,80,Critical/Critical,at,2026-03-14 23:14:08
52.37.1.84,c2_mythic,80,Critical/Critical,us,2026-03-13 07:21:30
18.192.8.246,c2_havoc,443,Critical/Critical,de,2026-03-01 00:13:26
185.202.196.73,c2_meshagent,80,Critical/Critical,de,2026-03-14 22:32:08
217.154.51.54,c2_meshagent,80,Critical/Critical,gb,2026-03-14 22:09:09
46.235.225.138,c2_mythic,80,Critical/Critical,gb,2026-03-14 22:00:33
45.116.104.104,c2_mythic,7443,Critical/Critical,nl,2026-02-23 10:04:32
48.211.216.77,c2_mythic,80,Critical/Critical,us,2026-03-04 10:57:39
34.95.224.185,c2_mythic,443,Critical/Critical,br,2026-03-10 12:10:59
23.20.191.130,c2_mythic,443,Low/Safe,us,2026-03-14 14:49:09
88.119.170.212,c2_metasploit,3790,Critical/Critical,nl,2026-03-11 12:13:10
50.87.65.199,c2_mythic,443,Critical/Critical,us,2026-03-12 22:24:08
195.228.214.60,c2_meshagent,443,Critical/Critical,hu,2026-03-14 22:37:41
206.189.213.116,c2_havoc,443,Critical/Critical,us,2026-02-24 12:49:42
74.208.147.203,c2_metasploit,3790,Critical/Critical,us,2026-03-11 07:39:05
51.83.161.87,c2_mythic,8443,Critical/Critical,fr,2026-03-12 17:03:56
45.138.16.145,c2_metasploit,3790,Critical/Critical,pl,2026-03-10 16:13:44
43.205.82.171,c2_havoc,443,Critical/Critical,in,2026-03-14 17:03:20
3.141.20.153,c2_havoc,443,Critical/Critical,us,2026-03-14 12:40:26
74.208.147.234,c2_metasploit,3790,Critical/Critical,us,2026-03-11 09:05:26
62.84.102.124,c2_metasploit,3790,Critical/Critical,nl,2026-03-11 06:25:32
23.158.56.245,c2_meshagent,80,Critical/Critical,de,2026-03-14 23:02:24
216.238.73.251,c2_meshagent,443,Critical/Critical,mx,2026-03-14 22:49:20
195.77.221.117,c2_meshagent,80,Critical/Critical,es,2026-03-14 22:16:48
46.101.95.235,c2_metasploit,3790,Critical/Critical,gb,2026-03-10 21:06:36
45.8.148.165,c2_metasploit,3790,Critical/Critical,de,2026-03-10 14:55:08
5.135.42.246,c2_mythic,80,Critical/Critical,gb,2026-03-13 11:04:58
47.179.29.8,c2_meshagent,80,Critical/Critical,us,2026-03-14 22:28:59
185.51.10.188,c2_meshagent,80,Critical/Critical,de,2026-03-14 23:34:58
8.148.80.112,c2_metasploit,3790,Critical/Critical,cn,2026-03-11 09:40:48
